,id_student,num_of_prev_attempts,studied_credits,module_presentation_length,avg_initial_score,first_eval_score,total_clicks_acum,total_active_days,Cluster,risk_class
0,11391,0,240,268,81.5,78.0,934.0,40.0,3,1
1,28400,0,60,268,69.0,70.0,1435.0,80.0,0,1
2,30268,0,60,268,0.0,0.0,281.0,12.0,2,0
3,31604,0,60,268,71.5,72.0,2158.0,123.0,0,1
4,32885,0,60,268,49.5,69.0,1034.0,70.0,0,1
5,38053,0,60,268,74.0,79.0,2445.0,143.0,0,1
6,45462,0,60,268,67.5,70.0,1492.0,90.0,0,1
7,45642,0,120,268,72.0,72.0,1428.0,105.0,0,1
8,52130,0,90,268,70.0,72.0,1894.0,122.0,0,1
9,53025,0,60,268,75.5,71.0,3158.0,142.0,0,1
10,57506,0,60,268,72.0,68.0,1319.0,90.0,0,1
11,58873,0,60,268,73.5,73.0,1732.0,120.0,0,1
12,59185,0,60,268,69.0,67.0,1102.0,61.0,0,1
13,62155,0,60,268,79.0,73.0,3388.0,148.0,0,1
14,63400,0,60,268,62.5,83.0,2737.0,175.0,0,1
15,65002,0,60,268,67.0,66.0,171.0,11.0,2,0
16,65002,0,60,268,67.0,66.0,171.0,11.0,2,0
17,70464,0,60,268,59.5,59.0,1053.0,46.0,0,1
18,71361,0,60,268,84.0,82.0,2327.0,135.0,0,1
19,74372,0,150,268,39.0,60.0,116.0,14.0,2,0
20,75091,0,60,268,66.5,67.0,2992.0,122.0,0,1
21,77367,0,60,268,74.5,73.0,680.0,86.0,3,1
22,91265,0,60,268,74.5,75.0,1494.0,125.0,0,1
23,94961,0,60,268,74.0,74.0,339.0,24.0,3,0
24,94961,0,60,268,74.0,74.0,339.0,24.0,3,1
25,98094,0,60,268,60.5,62.0,2839.0,91.0,0,1
26,100893,0,60,268,65.5,63.0,744.0,52.0,3,1
27,101781,0,60,268,74.0,84.0,4104.0,144.0,0,1
28,102806,0,60,268,83.0,80.0,1944.0,177.0,0,1
29,102952,0,60,268,73.0,76.0,1150.0,58.0,0,1
30,104476,0,60,268,81.5,85.0,4777.0,161.0,0,1
31,106247,0,60,268,66.5,67.0,465.0,33.0,3,0
32,106577,0,60,268,54.0,57.0,733.0,47.0,3,1
33,110175,0,60,268,63.5,66.0,998.0,70.0,0,1
34,111717,0,60,268,80.0,80.0,2343.0,136.0,0,1
35,113295,0,60,268,79.0,81.0,3553.0,195.0,0,1
36,114017,0,60,268,71.0,66.0,757.0,50.0,3,1
37,114999,0,60,268,76.5,74.0,1358.0,120.0,0,1
38,116541,0,60,268,71.0,76.0,1886.0,108.0,0,1
39,116692,0,60,268,74.5,72.0,1108.0,98.0,0,1
40,118983,0,120,268,68.0,73.0,284.0,27.0,2,1
41,123044,0,60,268,73.5,75.0,2041.0,127.0,0,1
42,127582,0,180,268,67.5,69.0,1321.0,89.0,0,1
43,129955,0,60,268,83.5,85.0,1011.0,83.0,0,0
44,129955,0,60,268,83.5,85.0,1011.0,83.0,0,0
45,132976,0,120,268,64.0,63.0,520.0,32.0,3,1
46,134143,0,60,268,85.0,87.0,2732.0,138.0,0,1
47,135335,0,180,268,0.0,0.0,57.0,10.0,1,0
48,135335,0,180,268,0.0,0.0,57.0,10.0,1,0
49,135400,0,60,268,61.5,72.0,287.0,24.0,2,0
50,135400,0,60,268,61.5,72.0,287.0,24.0,2,1
51,137873,0,60,268,76.5,72.0,5528.0,192.0,0,1
52,141355,0,240,268,75.5,77.0,1823.0,92.0,0,1
53,141377,0,345,268,45.0,45.0,143.0,9.0,2,0
54,141377,0,345,268,45.0,45.0,143.0,9.0,2,1
55,142326,0,60,268,70.5,65.0,2121.0,95.0,0,1
56,144801,0,60,268,62.5,61.0,5645.0,200.0,0,1
57,145130,0,120,268,56.0,75.0,452.0,35.0,3,1
58,146188,0,60,268,52.5,52.0,597.0,32.0,3,0
59,147756,0,120,268,74.5,77.0,611.0,74.0,3,0
60,147756,0,120,268,74.5,77.0,611.0,74.0,3,1
61,147793,0,90,268,52.0,52.0,155.0,9.0,2,0
62,148993,0,60,268,69.0,68.0,1864.0,106.0,0,0
63,148993,0,60,268,69.0,68.0,1864.0,106.0,0,1
64,151358,0,150,268,51.0,54.0,270.0,20.0,2,1
65,155550,0,420,268,70.5,75.0,1529.0,81.0,0,1
66,155854,0,60,268,80.5,82.0,4003.0,202.0,0,1
67,155984,0,60,268,80.0,85.0,908.0,44.0,0,0
68,155984,0,60,268,80.0,85.0,908.0,44.0,0,1
69,157568,0,60,268,80.0,79.0,1405.0,87.0,0,1
70,159954,0,60,268,66.5,65.0,1185.0,66.0,0,0
71,159954,0,60,268,66.5,65.0,1185.0,66.0,0,0
72,164259,0,60,268,70.0,82.0,466.0,51.0,3,1
73,167906,0,60,268,59.0,60.0,1510.0,99.0,0,1
74,168936,0,60,268,77.5,76.0,745.0,42.0,3,1
75,172112,0,60,268,63.5,60.0,1939.0,135.0,0,1
76,172797,0,60,268,57.0,60.0,1782.0,86.0,0,1
77,174782,0,60,268,81.0,83.0,6318.0,249.0,0,1
78,175392,0,60,268,79.5,85.0,4447.0,197.0,0,1
79,175932,0,60,268,74.5,76.0,2016.0,97.0,0,1
80,175991,0,180,268,39.5,51.0,138.0,17.0,2,0
81,180753,0,120,268,60.0,61.0,2012.0,157.0,0,1
82,181316,0,120,268,76.0,76.0,487.0,20.0,3,0
83,183096,0,60,268,55.0,57.0,1975.0,116.0,0,1
84,183947,0,180,268,50.0,67.0,964.0,58.0,0,1
85,184271,0,170,268,63.5,65.0,1312.0,147.0,0,1
86,185439,0,120,268,74.0,74.0,427.0,15.0,3,0
87,186149,0,60,268,83.0,85.0,2136.0,109.0,0,1
88,187100,0,60,268,89.0,88.0,8562.0,231.0,0,1
89,188278,0,120,268,76.0,76.0,1434.0,49.0,0,0
90,188278,0,120,268,76.0,76.0,1434.0,49.0,0,1
91,189879,0,120,268,80.5,76.0,1541.0,84.0,0,1
92,192183,0,60,268,70.5,75.0,3219.0,176.0,0,1
93,195262,0,60,268,50.0,50.0,1905.0,58.0,0,0
94,200860,0,60,268,63.5,69.0,534.0,81.0,3,1
95,202635,0,60,268,69.0,68.0,1418.0,47.0,0,0
96,205350,0,60,268,67.0,75.0,1665.0,126.0,0,1
97,205719,0,90,268,65.0,67.0,333.0,32.0,3,0
98,227499,0,60,268,83.5,84.0,2953.0,162.0,0,1
99,227517,0,180,268,65.0,63.0,1205.0,69.0,0,0
100,228082,0,60,268,63.0,58.0,227.0,37.0,2,1
101,228222,0,60,268,58.0,71.0,445.0,38.0,3,1
102,229179,0,60,268,66.0,64.0,614.0,50.0,3,1
103,229361,0,60,268,78.5,81.0,1215.0,123.0,0,1
104,231554,0,240,268,71.0,80.0,1839.0,86.0,0,1
105,235507,0,240,268,65.0,65.0,190.0,21.0,2,0
106,235507,0,240,268,65.0,65.0,190.0,21.0,2,1
107,236284,0,60,268,84.5,85.0,732.0,41.0,3,1
108,238007,0,60,268,78.0,83.0,1935.0,162.0,0,1
109,240712,0,80,268,81.5,82.0,321.0,26.0,3,1
110,240884,0,120,268,64.0,74.0,427.0,44.0,3,1
111,241649,0,60,268,75.5,85.0,1892.0,135.0,0,1
112,241729,0,60,268,53.0,51.0,1829.0,117.0,0,0
113,242793,0,60,268,70.5,66.0,658.0,56.0,3,1
114,246834,0,60,268,58.0,60.0,1174.0,68.0,0,1
115,248270,0,90,268,78.0,77.0,1969.0,193.0,0,1
116,255548,0,60,268,79.5,84.0,2580.0,166.0,0,1
117,256815,0,120,268,73.0,71.0,1481.0,139.0,0,1
118,258392,0,60,268,57.5,58.0,844.0,53.0,0,1
119,258894,0,60,268,61.5,58.0,4963.0,204.0,0,1
120,260355,0,60,268,57.5,55.0,426.0,43.0,3,0
121,260355,0,60,268,57.5,55.0,426.0,43.0,3,0
122,262011,0,60,268,69.5,60.0,1066.0,69.0,0,1
123,262934,0,60,268,80.5,81.0,2407.0,119.0,0,1
124,268073,0,90,268,71.0,64.0,3210.0,116.0,0,0
125,268733,0,180,268,43.0,51.0,188.0,18.0,2,0
126,268733,0,180,268,43.0,51.0,188.0,18.0,2,0
127,271251,0,60,268,71.0,80.0,3348.0,128.0,0,1
128,277880,0,60,268,67.5,70.0,2016.0,78.0,0,0
129,277880,0,60,268,67.5,70.0,2016.0,78.0,0,0
130,279572,0,60,268,80.5,79.0,1183.0,63.0,0,1
131,281022,0,150,268,71.0,70.0,492.0,49.0,3,1
132,281250,0,60,268,60.0,63.0,130.0,15.0,2,0
133,281589,0,60,268,0.0,0.0,59.0,8.0,1,0
134,282821,0,60,268,57.0,61.0,1961.0,87.0,0,1
135,286488,0,60,268,64.0,55.0,1046.0,68.0,0,1
136,287548,0,120,268,69.5,69.0,483.0,47.0,3,1
137,290201,0,60,268,73.5,78.0,1740.0,108.0,0,1
138,290757,0,60,268,74.5,75.0,652.0,33.0,3,1
139,291334,0,60,268,84.5,85.0,5231.0,229.0,0,1
140,292923,0,180,268,0.0,0.0,0.0,0.0,1,0
141,293699,0,120,268,54.0,55.0,187.0,28.0,2,1
142,294570,0,60,268,77.0,72.0,1775.0,119.0,0,1
143,294594,0,60,268,57.0,61.0,865.0,94.0,0,1
144,295741,0,240,268,45.0,38.0,709.0,87.0,3,0
145,295741,0,240,268,45.0,38.0,709.0,87.0,3,1
146,296332,0,60,268,93.0,91.0,2152.0,124.0,0,1
147,298696,0,60,268,73.5,77.0,514.0,58.0,3,1
148,300398,0,60,268,81.0,82.0,1997.0,108.0,0,1
149,302302,0,60,268,58.5,58.0,513.0,24.0,3,0
150,305152,0,60,268,64.0,64.0,146.0,11.0,2,0
151,305386,0,120,268,75.5,75.0,1277.0,85.0,0,1
152,305539,0,120,268,0.0,0.0,68.0,6.0,1,0
153,306107,0,120,268,59.5,73.0,987.0,81.0,0,1
154,306466,0,60,268,79.5,81.0,1220.0,110.0,0,1
155,306897,0,60,268,72.5,72.0,2742.0,189.0,0,1
156,307061,0,60,268,79.0,82.0,1081.0,87.0,0,1
157,307866,0,60,268,49.5,47.0,1476.0,76.0,0,1
158,311917,0,120,268,50.5,55.0,2230.0,145.0,0,1
159,312537,0,60,268,89.0,88.0,12882.0,271.0,0,1
160,312782,0,60,268,71.5,89.0,281.0,46.0,2,1
161,318933,0,120,268,66.5,70.0,1281.0,106.0,0,1
162,319047,0,60,268,76.0,77.0,6589.0,232.0,0,1
163,321942,0,60,268,81.0,82.0,10083.0,239.0,0,1
164,324002,0,60,268,77.0,85.0,1901.0,122.0,0,1
165,324084,0,60,268,46.5,58.0,1961.0,110.0,0,1
166,324282,0,120,268,48.0,38.0,133.0,38.0,2,1
167,331358,0,60,268,84.0,84.0,2376.0,45.0,0,0
168,331358,0,60,268,84.0,84.0,2376.0,45.0,0,1
169,332789,0,60,268,73.0,69.0,1655.0,72.0,0,1
170,333059,0,120,268,71.0,72.0,301.0,31.0,2,1
171,333323,0,60,268,77.5,77.0,648.0,36.0,3,1
172,334259,0,150,268,53.0,57.0,332.0,27.0,3,0
173,334333,0,240,268,36.0,36.0,303.0,33.0,2,0
174,335764,0,60,268,86.5,86.0,2286.0,106.0,0,0
175,335764,0,60,268,86.5,86.0,2286.0,106.0,0,1
176,336207,0,120,268,69.0,71.0,1316.0,111.0,0,1
177,339972,0,60,268,56.0,68.0,333.0,33.0,3,1
178,341872,0,180,268,64.0,64.0,201.0,35.0,2,0
179,342007,0,60,268,75.0,75.0,880.0,38.0,0,0
